date,title,amount
2025-12-30,Ifd*M A Monteiro Linha,31.99
2025-12-30,Claro84,35.00
2025-12-28,Pagamento recebido,-1295.43
2025-12-28,Amazonmktplc*Lumeostor,14.16
2025-12-27,Mundo dos Animais,30.11
2025-12-26,"Crédito de ""APPLE.COM/BILL""",-3.05
2025-12-26,Ifd*M A Monteiro Linha,19.84
2025-12-24,Porfirio Calcados - Parcela 1/6,31.70
2025-12-23,Pag*Steam,9.44
2025-12-22,Shopee *Plastibatista,66.43
2025-12-21,Mercado*Alfatecstore - Parcela 4/10,26.63
2025-12-21,Pag*Steam - Parcela 4/10,34.21
2025-12-21,Mercadolivre*2produtos - Parcela 3/6,31.34
2025-12-21,Shopee *Futuretech - Parcela 2/12,380.58
2025-12-21,Amazon Retail Br Cpi - Parcela 6/10,26.08
2025-12-21,Mlp*Magalu-Qcy Brasil - Parcela 8/10,23.59
2025-12-21,Amazon - Parcela 4/10,68.99
2025-12-21,Mp *Aliexpress - Parcela 3/10,29.27
2025-12-21,Amazon - Parcela 4/5,133.80
2025-12-21,Mp *Aliexpress - Parcela 4/10,12.17
